# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	379685
#@/user_id	hotoo.rmbp
bai tiao 	白條	c=1 d=0 t=379685
bai tuo 	拜託	c=4 d=3.79345e-156 t=379685
bai tuo 	擺脫	c=1 d=2.41495e-196 t=379685
bai wan 	百萬	c=3 d=0.685669 t=95408
bai wan ren 	百萬人	c=1 d=1 t=95409
bai wu jin ji 	百無禁忌	c=1 d=4.56804e-48 t=379685
bai xia 	白蝦	c=1 d=2.07538e-178 t=379685
bai xiang shan 	白香山	c=31 d=3.79923e-45 t=379685
bai xing 	百姓	c=2 d=1.00458e-230 t=379685
bai xuan 	柏軒	c=2 d=1.30422 t=34253
bai yan 	白眼	c=2 d=4.59749e-06 t=379685
bai yun 	白雲	c=3 d=9.52363e-15 t=379685
bai zhan ji 	白斬雞	c=12 d=9.06631e-222 t=379685
bai zhi 	百支	c=2 d=8.99625e-80 t=379685
bai zhi hei zi 	白紙黑字	c=1 d=1 t=99383
bai zhong 	擺鍾	c=10 d=2.62594 t=105556
bai zhou 	白粥	c=1 d=0.00223169 t=379685
bai zi 	白字	c=1 d=2.00678e-18 t=379685
ban 	伴	c=1 d=1.06684e-114 t=379685
ban 	半	c=58 d=0.018043 t=379685
ban 	拌	c=2 d=1.84677e-11 t=379685
ban 	搬	c=26 d=4.08747e-05 t=379685
ban 	板	c=5 d=5.31355e-36 t=379685
ban 	版	c=150 d=0.0473589 t=379685
ban 	班	c=8 d=3.57919e-31 t=379685
ban 	般	c=1 d=1.91946e-25 t=379685
ban 	辦	c=60 d=1.05798e-16 t=379685
ban ben 	版本	c=417 d=0.349793 t=379685
ban ben hao 	版本號	c=14 d=3.76443e-42 t=379685
ban ben kan 	版本看	c=1 d=3.36815e-110 t=379685
ban bi jiang shan 	半壁江山	c=1 d=1 t=93335
ban che 	班車	c=5 d=1.82283 t=99733
ban ci 	班次	c=1 d=1.59223e-31 t=379685
ban dao 	半島	c=2 d=7.14784e-80 t=379685
ban deng 	板凳	c=3 d=2.75974e-31 t=379685
ban dian 	半點	c=4 d=6.53257e-72 t=379685
ban duan 	半段	c=2 d=5.38534e-102 t=379685
ban fa 	辦法	c=90 d=0.00351751 t=379685
ban fa 	頒發	c=2 d=2.27798e-155 t=379685
ban fan 	拌飯	c=1 d=4.98638e-167 t=379685
ban ge 	半個	c=6 d=4.47059e-60 t=379685
ban ge yue 	半個月	c=2 d=2.50939e-118 t=379685
ban ge zi 	半個字	c=1 d=1 t=80095
ban gong 	辦公	c=21 d=8.4395e-05 t=379685
ban gong lou 	辦公樓	c=1 d=4.49872e-309 t=379685
ban gong shi 	辦公室	c=2 d=2.06405e-143 t=379685
